horsepower,curb-weight,make,engine-size,body-style,drive-wheels,highway-mpg,price,length,width,city-mpg,bore,wheel-base
111,2548,alfa-romero,130,convertible,rwd,27,13495.0,0.8111484863046613,0.8902777777777777,21,3.47,88.6
111,2548,alfa-romero,130,convertible,rwd,27,16500.0,0.8111484863046613,0.8902777777777777,21,3.47,88.6
154,2823,alfa-romero,152,hatchback,rwd,26,16500.0,0.8226814031715521,0.9097222222222222,19,2.68,94.5
102,2337,audi,109,sedan,fwd,30,13950.0,0.8486304661220567,0.9194444444444445,24,3.19,99.8
115,2824,audi,136,sedan,4wd,22,17450.0,0.8486304661220567,0.9222222222222223,18,3.19,99.4
110,2507,audi,136,sedan,fwd,25,15250.0,0.8519942335415667,0.9208333333333333,19,3.19,99.8
110,2844,audi,136,sedan,fwd,25,17710.0,0.9259971167707832,0.9916666666666667,19,3.19,105.8
110,2954,audi,136,wagon,fwd,25,18920.0,0.9259971167707832,0.9916666666666667,19,3.19,105.8
140,3086,audi,131,sedan,fwd,20,23875.0,0.9259971167707832,0.9916666666666667,17,3.13,105.8
101,2395,bmw,108,sedan,rwd,29,16430.0,0.849591542527631,0.8999999999999999,23,3.5,101.2
101,2395,bmw,108,sedan,rwd,29,16925.0,0.849591542527631,0.8999999999999999,23,3.5,101.2
121,2710,bmw,164,sedan,rwd,28,20970.0,0.849591542527631,0.8999999999999999,21,3.31,101.2
121,2765,bmw,164,sedan,rwd,28,21105.0,0.849591542527631,0.8999999999999999,21,3.31,101.2
121,3055,bmw,164,sedan,rwd,25,24565.0,0.9082172032676598,0.9291666666666667,20,3.31,103.5
182,3230,bmw,209,sedan,rwd,22,30760.0,0.9082172032676598,0.9291666666666667,16,3.62,103.5
182,3380,bmw,209,sedan,rwd,22,41315.0,0.9312830370014417,0.9430555555555556,16,3.62,103.5
182,3505,bmw,209,sedan,rwd,20,36880.0,0.9466602594906295,0.9847222222222223,15,3.62,110.0
48,1488,chevrolet,61,hatchback,fwd,53,5151.0,0.6780394041326285,0.8374999999999999,47,2.91,88.4
70,1874,chevrolet,90,hatchback,fwd,43,6295.0,0.7491590581451226,0.8833333333333333,38,3.03,94.5
70,1909,chevrolet,90,sedan,fwd,43,6575.0,0.7630946660259491,0.8833333333333333,38,3.03,94.5
68,1876,dodge,90,hatchback,fwd,41,5572.0,0.7558865929841423,0.8861111111111111,37,2.97,93.7
68,1876,dodge,90,hatchback,fwd,38,6377.0,0.7558865929841423,0.8861111111111111,31,2.97,93.7
102,2128,dodge,98,hatchback,fwd,30,7957.0,0.7558865929841423,0.8861111111111111,24,3.03,93.7
68,1967,dodge,90,hatchback,fwd,38,6229.0,0.7558865929841423,0.8861111111111111,31,2.97,93.7
68,1989,dodge,90,sedan,fwd,38,6692.0,0.7558865929841423,0.8861111111111111,31,2.97,93.7
68,1989,dodge,90,sedan,fwd,38,7609.0,0.7558865929841423,0.8861111111111111,31,2.97,93.7
102,2191,dodge,98,sedan,fwd,30,8558.0,0.7558865929841423,0.8861111111111111,24,3.03,93.7
88,2535,dodge,122,wagon,fwd,30,8921.0,0.8390197020663143,0.8972222222222221,24,3.34,103.3
145,2811,dodge,156,hatchback,fwd,24,12964.0,0.8322921672272945,0.9208333333333333,19,3.6,95.9
58,1713,honda,92,hatchback,fwd,54,6479.0,0.6948582412301778,0.8875,49,2.91,86.6
76,1819,honda,92,hatchback,fwd,38,6855.0,0.6948582412301778,0.8875,31,2.91,86.6
60,1837,honda,79,hatchback,fwd,42,5399.0,0.7208073041806824,0.8888888888888888,38,2.91,93.7
76,1940,honda,92,hatchback,fwd,34,6529.0,0.7208073041806824,0.8888888888888888,30,2.91,93.7
76,1956,honda,92,hatchback,fwd,34,7129.0,0.7208073041806824,0.8888888888888888,30,2.91,93.7
76,2010,honda,92,sedan,fwd,34,7295.0,0.7851994233541567,0.8888888888888888,30,2.91,96.5
